workerid	Answer.gender	Answer.age	Answer.income	Answer.nativeLanguage	Answer.orders	Answer.imageIDs	Answer.imageCategories	Answer.stateRatings	Answer.probsSad	Answer.probsDisgusted	Answer.probsAngry	Answer.probsNeutral	Answer.probsContent	Answer.probsHappy	Answer.probsExcited
41	M	35	8	English	1,2,3,4,5,6,7,8,9	6,1,9,3,5,7,2,4,8	ok,amazing,terrible,amazing,ok,terrible,amazing,ok,terrible	4,5,1,5,4,2,5,3,3	0.04,0.01,0.61,0.01,0.13,0.19,0.03,0.2,0.15	0,0.02,0.16,0.01,0.03,0.13,0.04,0.1,0.06	0.01,0.01,0.32,0.02,0.06,0.17,0.03,0.1,0.1	0.37,0.14,0.21,0.13,0.39,0.24,0.11,0.74,0.7	0.81,0.89,0.13,0.89,0.66,0.16,0.9,0.47,0.54	0.65,0.8,0.04,0.83,0.53,0.14,0.76,0.23,0.27	0.52,0.71,0.04,0.76,0.36,0.08,0.65,0.17,0.07
42	F	45	10	english	1,2,3,4,5,6,7,8,9	9,5,4,7,8,3,2,6,1	terrible,ok,ok,terrible,terrible,amazing,amazing,ok,amazing	1,4,3,2,1,5,5,4,5	0.51,0.09,0.11,0.34,0.45,0.03,0.04,0.09,0.09	0.85,0.1,0.04,0.69,0.79,0.02,0.03,0.09,0.05	0.32,0.04,0.03,0.4,0.33,0.02,0.02,0.05,0.06	0.17,0.79,0.87,0.16,0.14,0.04,0.3,0.74,0.57	0.02,0.73,0.61,0.07,0.1,0.58,0.81,0.82,0.82	0.09,0.81,0.49,0.13,0.07,0.82,0.86,0.74,0.89	0.02,0.25,0.07,0.21,0.08,0.66,0.76,0.26,0.49
43	F	65	10	English	1,2,3,4,5,6,7,8,9	5,1,9,8,2,4,3,7,6	ok,amazing,terrible,terrible,amazing,ok,amazing,terrible,ok	4,5,2,3,5,2,5,1,4	0.08,0.01,0.86,0.19,0,0.45,0,0.85,0.19	0.06,0,0.48,0.19,0.01,0.37,0,0.93,0.15	0.15,0.02,0.71,0.32,0,0.52,0.01,0.92,0.11	0.49,0.18,0.19,0.77,0.07,0.32,0.15,0.17,0.47	0.91,0.68,0.2,0.65,0.74,0.32,0.74,0.11,0.49	0.77,0.98,0.04,0.41,1,0.25,0.99,0.04,0.64	0.59,0.86,0.28,0.31,0.96,0.22,0.92,0.07,0.71
44	M	45	4	English	1,2,3,4,5,6,7,8,9	6,5,9,2,7,4,3,1,8	ok,ok,terrible,amazing,terrible,ok,amazing,amazing,terrible	4,4,1,5,1,2,5,5,2	0.1,0.11,0.8,0.03,0.72,0.65,0.01,0.09,0.71	0.11,0.15,0.74,0.04,0.7,0.47,0.02,0.03,0.68	0.11,0.14,0.57,0.01,0.51,0.36,0.03,0.01,0.35	0.4,0.29,0.08,0.23,0.2,0.37,0.05,0.12,0.32	0.68,0.79,0.08,0.86,0.11,0.24,0.9,0.92,0.33	0.72,0.73,0.08,0.89,0.16,0.27,0.96,0.89,0.16	0.62,0.63,0.11,0.9,0.23,0.11,0.96,0.94,0.26
45	M	17	4	English	1,2,3,4,5,6,7,8,9	9,2,6,5,4,8,7,1,3	terrible,amazing,ok,ok,ok,terrible,terrible,amazing,amazing	1,5,3,4,3,2,1,5,5	0.97,0.01,0.02,0.22,0.07,0.38,0.98,0.01,0.01	0.01,0,0,0.01,0.05,0.07,0.97,0.01,0.01	0.63,0,0.12,0.03,0.01,0.21,0.97,0.02,0.02	0.1,0,0.53,0.78,0.66,0.01,0.01,0.46,0.47	0.01,0.98,0.96,0.78,0.86,0.27,0.01,0.43,0.51	0.03,0.98,0.62,0.45,0.3,0.01,0.02,0.99,0.98	0.01,0.98,0.45,0.4,0.01,0.01,0.02,0.98,0.97
46	F	35	6	english	1,2,3,4,5,6,7,8,9	3,8,4,1,6,7,2,9,5	amazing,terrible,ok,amazing,ok,terrible,amazing,terrible,ok	5,2,3,5,4,1,5,1,5	0.05,0.63,0.48,0.08,0.14,0.65,0.23,0.48,0.12	0.02,0.08,0.02,0.09,0.14,0.48,0.16,0.17,0.15	0.01,0.47,0.38,0.08,0.13,0.84,0.16,0.69,0.13	0.33,0.58,0.81,0.18,0.36,0.26,0.45,0.35,0.61	0.76,0.33,0.17,0.77,0.79,0.02,0.96,0.11,0.92	0.77,0.43,0.46,0.96,0.75,0.01,0.83,0.02,0.73	0.55,0.32,0.25,0.66,0.55,0.02,0.64,0.03,0.69
47	F	55	10	English	1,2,3,4,5,6,7,8,9	1,4,9,3,7,2,6,8,5	amazing,ok,terrible,amazing,terrible,amazing,ok,terrible,ok	5,4,2,5,2,5,4,3,4	0.02,0.4,0.36,0.01,0.2,0.01,0.02,0.27,0.19	0.01,0.04,0.01,0.01,0,0.01,0,0.01,0.02	0,0.04,0.39,0.03,0.28,0,0.03,0.01,0	0.14,0.3,0.34,0.16,0.2,0.28,0.44,0.46,0.48	0.84,0.65,0.15,0.83,0.15,0.83,0.65,0.43,0.62	0.95,0.53,0.04,0.88,0.16,0.94,0.67,0.48,0.69	0.88,0.28,0.03,0.89,0.03,0.92,0.54,0.17,0.33
48	M	45	4	English	1,2,3,4,5,6,7,8,9	3,9,6,7,1,5,2,4,8	amazing,terrible,ok,terrible,amazing,ok,amazing,ok,terrible	5,1,4,2,5,3,5,3,3	0.1,0.59,0.13,0.47,0.19,0.09,0.09,0.17,0.48	0.02,0.52,0.07,0.61,0.06,0.08,0.05,0.04,0.49	0.07,0.55,0.35,0.58,0.18,0.13,0.12,0.11,0.55	0.24,0.24,0.53,0.32,0.26,0.51,0.32,0.48,0.46	0.86,0.31,0.7,0.11,0.74,0.68,0.77,0.62,0.27	0.86,0.25,0.63,0.16,0.7,0.69,0.78,0.29,0.32	0.8,0.15,0.64,0.23,0.67,0.57,0.67,0.28,0.25
49	F	25	4	English	1,2,3,4,5,6,7,8,9	6,3,1,5,4,2,7,9,8	ok,amazing,amazing,ok,ok,amazing,terrible,terrible,terrible	5,5,4,3,2,5,3,1,1	0.01,0.03,0.01,0.04,0.57,0.01,0.19,0.95,0.45	0.24,0.03,0.01,0.04,0.02,0.04,0.09,0.4,0.54	0.01,0.03,0.04,0.04,0.3,0.01,0.43,0.45,0.79	0.33,0.48,0.48,0.95,0.73,0.16,0.71,0.05,0.07	0.9,0.81,0.97,0.95,0.4,0.83,0.59,0.08,0.18	0.99,0.98,0.96,0.46,0.12,0.99,0.74,0.04,0.13	0.97,0.98,0.58,0.1,0.04,0.99,0.01,0.02,0.12
50	M	17	8	English	1,2,3,4,5,6,7,8,9	7,4,3,8,5,2,1,9,6	terrible,ok,amazing,terrible,ok,amazing,amazing,terrible,ok	2,4,5,2,4,5,5,2,4	0.87,0.11,0,0.71,0.08,0,0,0.73,0.06	0.71,0.02,0,0.14,0,0,0,0.64,0	0.67,0.03,0,0.27,0,0,0,0.66,0	0.08,0.18,0,0.33,0.06,0,0,0.27,0.18	0.14,0.92,1,0.41,0.84,1,0.93,0.08,0.97	0.15,0.86,1,0.18,0.75,0.93,0.93,0.1,0.87	0.03,0.73,0.92,0.27,0.69,0.87,0.78,0,0.68
