workerid	Answer.gender	Answer.age	Answer.income	Answer.nativeLanguage	Answer.orders	Answer.imageIDs	Answer.imageCategories	Answer.utterances	Answer.ironyRatings	Answer.stateRatings	Answer.probsSad	Answer.probsDisgusted	Answer.probsAngry	Answer.probsNeutral	Answer.probsContent	Answer.probsHappy	Answer.probsExcited
35	M	45	6	English	1,2,3,4,5,6,7,8,9	5,1,3,6,9,7,8,4,2	ok,amazing,amazing,ok,terrible,terrible,terrible,ok,amazing	bad,good,amazing,bad,bad,ok,bad,amazing,amazing	0.82,0.03,0.01,0.63,0,0.87,0.15,0.2,0.04	4,5,5,3,1,1,2,3,5	0.21,0.06,0.03,0.33,0.82,0.6,0.67,0.64,0.05	0.17,0.05,0.05,0.23,0.79,0.65,0.67,0.62,0.02	0.22,0.06,0.05,0.34,0.74,0.59,0.67,0.68,0.07	0.2,0.13,0.04,0.79,0.1,0.46,0.15,0.9,0.03	0.69,0.98,0.97,0.54,0.28,0.31,0.28,0.49,0.97	0.76,0.99,0.97,0.51,0.34,0.21,0.19,0.55,0.96	0.65,0.97,0.95,0.54,0.03,0.27,0.17,0.48,0.94
36	F	25	6	English	1,2,3,4,5,6,7,8,9	8,1,2,3,5,6,9,7,4	terrible,amazing,amazing,amazing,ok,ok,terrible,terrible,ok	good,terrible,amazing,amazing,amazing,amazing,amazing,terrible,bad	0.65,0.88,0,0,0.47,0.22,0.83,0.04,0.32	2,5,5,5,3,4,1,1,3	0.62,0.27,0.15,0.05,0.28,0.35,0.73,0.29,0.69	0.45,0.23,0.13,0.04,0.33,0.38,0.85,0.64,0.51	0.49,0.26,0.16,0.03,0.52,0.38,0.37,0.62,0.29	0.75,0.64,0.53,0.36,0.9,0.87,0.46,0.31,0.74	0.34,0.85,0.89,0.92,0.64,0.83,0.49,0.35,0.63	0.29,0.72,0.9,0.9,0.66,0.75,0.26,0.25,0.29	0.21,0.76,0.9,0.95,0.49,0.69,0.27,0.44,0.27
37	F	35	6	English	1,2,3,4,5,6,7,8,9	4,8,3,2,6,5,7,1,9	ok,terrible,amazing,amazing,ok,ok,terrible,amazing,terrible	amazing,amazing,ok,bad,amazing,terrible,ok,ok,amazing	0,0,0,0.5,0.02,0.09,0.14,0.15,0.08	5,5,4,2,5,1,4,4,5	0.03,0.07,0.28,0.6,0.11,0.61,0.58,0.38,0.19	0.03,0.07,0.23,0.57,0.1,0.71,0.58,0.37,0.24	0.02,0,0.02,0.59,0.05,0.8,0.59,0.28,0.21	0.47,0.52,0.25,0.37,0.09,0.27,0.48,0.41,0.39	0.72,0.81,0.67,0.31,0.92,0.27,0.49,0.48,0.76	0.77,0.65,0.52,0.22,0.92,0.21,0.32,0.53,0.83	0.76,0.6,0.32,0.25,0.89,0.21,0.31,0.43,0.8
38	F	35	8	English	1,2,3,4,5,6,7,8,9	6,8,5,7,1,9,3,4,2	ok,terrible,ok,terrible,amazing,terrible,amazing,ok,amazing	amazing,amazing,terrible,bad,good,ok,bad,bad,good	0.2,0.17,0.44,0.16,0.33,0.5,0.69,0.37,0.23	5,5,1,2,4,3,2,2,4	0.05,0.08,0.58,0.58,0.08,0.01,0.44,0.49,0.03	0.06,0.1,0.46,0.66,0.1,0.02,0.54,0.34,0.04	0.07,0.07,0.2,0.42,0.08,0.04,0.35,0.2,0.04	0.05,0.07,0.12,0.1,0.09,0.01,0.07,0.04,0.04	0.81,0.76,0.1,0.1,0.82,0.55,0.1,0.04,0.49	0.86,0.86,0.12,0.05,0.68,0.22,0.09,0.12,0.49	0.82,0.68,0.1,0.11,0.38,0.02,0.13,0.04,0.31
39	M	35	8	english	1,2,3,4,5,6,7,8,9	8,2,6,5,7,4,3,1,9	terrible,amazing,ok,ok,terrible,ok,amazing,amazing,terrible	ok,bad,good,terrible,ok,amazing,amazing,terrible,bad	0.8,0.88,0.5,0.27,0.87,0.05,0.13,0.98,0.06	2,5,3,3,1,5,5,5,1	0.43,0.21,0.07,0.46,0.86,0.24,0.18,0.09,0.84	0.75,0.59,0.25,0.12,0.85,0.09,0.07,0.08,0.81	0.8,0.04,0.36,0.75,0.8,0.07,0.1,0.1,0.93	0.42,0.45,0.8,0.69,0.47,0.77,0.84,0.74,0.61	0.81,0.79,0.79,0.72,0.15,0.79,0.89,0.96,0.11	0.51,0.83,0.81,0.29,0.2,0.88,0.9,0.81,0.16	0.41,0.81,0.84,0.72,0.17,0.82,0.86,0.87,0.07
40	M	35	6	Chinese	1,2,3,4,5,6,7,8,9	1,3,5,9,2,8,7,6,4	amazing,amazing,ok,terrible,amazing,terrible,terrible,ok,ok	ok,good,amazing,ok,bad,ok,bad,terrible,ok	0.37,0.18,0,0.89,1,0.62,0,0.87,0.6	5,4,4,2,5,3,1,4,3	0,0,0.05,0.7,0.2,0.41,0.69,0.47,0.36	0,0,0.08,0.8,0.26,0.5,0.87,0.34,0.47	0,0,0,0.75,0.34,0.29,0.74,0.35,0.34	0.84,0.32,0.63,0.28,0.65,0.93,0.32,0.73,0.87	0.83,0.88,0.86,0.15,0.7,0.87,0.3,0.67,0.82	0.74,0.83,0.81,0.2,0.7,0.57,0.23,0.62,0.57	0.62,0.74,0.75,0.3,0.49,0.23,0.5,0.25,0.14
41	M	25	6	English	1,2,3,4,5,6,7,8,9	6,8,2,4,3,9,7,5,1	ok,terrible,amazing,ok,amazing,terrible,terrible,ok,amazing	ok,amazing,good,amazing,terrible,good,amazing,ok,amazing	0.25,0.9,0.79,0.37,0.34,0.77,0.74,0.36,0.42	4,1,3,3,3,3,3,4,4	0.29,0.7,0.17,0.32,0.33,0.72,0.59,0.71,0.42	0.17,0.82,0.23,0.23,0.15,0.66,0.35,0.46,0.52	0.22,0.78,0.29,0.25,0.22,0.23,0.54,0.36,0.71	0.49,0.58,0.49,0.49,0.36,0.43,0.31,0.54,0.41	0.8,0.17,0.83,0.44,0.31,0.66,0.52,0.53,0.85	0.86,0.21,0.76,0.43,0.3,0.39,0.3,0.7,0.28	0.78,0.19,0.83,0.46,0.3,0.51,0.68,0.51,0.61
42	M	35	4	English	1,2,3,4,5,6,7,8,9	9,2,8,6,5,3,4,1,7	terrible,amazing,terrible,ok,ok,amazing,ok,amazing,terrible	bad,amazing,bad,good,bad,terrible,amazing,terrible,good	0.02,0,0,0,0.66,0.95,0.18,1,1	2,5,2,4,4,5,4,5,1	0.4,0,0.37,0,0,0,0,0,0.27	0.49,0,0.36,0,0.06,0,0.04,0,0.26	0.58,0.06,0.35,0.03,0.04,0.03,0.03,0.04,0.4	0,0,0,0.3,0.55,0.38,0.64,0.39,0.17	0,0.68,0,0.57,0.21,0.44,0.6,0.4,0.17	0,0.73,0.01,0.55,0.11,0.36,0.28,0.61,0.14	0.12,0.73,0,0.53,0.03,0.28,0,0.17,0.04
43	F	35	4	English	1,2,3,4,5,6,7,8,9	7,3,2,5,9,1,4,8,6	terrible,amazing,amazing,ok,terrible,amazing,ok,terrible,ok	good,terrible,ok,amazing,good,terrible,good,good,amazing	0.85,1,0.99,0.5,0.99,0.99,0.02,0.84,0	1,5,5,4,1,5,3,2,5	0.15,0.01,0.01,0.01,0.25,0.01,0.22,0.79,0.01	0.52,0.01,0.02,0.01,0.49,0.01,0.01,0.52,0.02	0.51,0.01,0.01,0.02,0.49,0.01,0,0.51,0.01	0.14,0.02,0.5,0.48,0.01,0,1,0.21,0.02	0.14,0.98,0.51,0.99,0.01,0.99,0.51,0.21,0.99	0.14,0.98,0.49,0.98,0.51,0.99,0.52,0.2,0.99	0.34,0.98,0.51,0.99,0.12,1,0.53,0.01,0.99
44	F	35	4	english	1,2,3,4,5,6,7,8,9	9,7,4,6,8,1,5,3,2	terrible,terrible,ok,ok,terrible,amazing,ok,amazing,amazing	bad,good,bad,terrible,terrible,amazing,terrible,bad,bad	0.02,0.96,0.21,0.75,0.12,0.03,0.9,0.97,0.77	2,1,2,3,2,5,4,5,4	0.7,0.18,0.2,0.01,0.27,0.03,0.04,0,0.02	0.02,0,0.03,0.02,0.03,0.01,0.02,0.01,0.01	0.21,0.21,0.02,0,0.28,0.01,0.03,0.01,0.02	0.19,0.17,0.49,0.46,0.01,0.07,0.53,0.38,0.21	0.01,0.1,0.33,0.72,0,0.93,0.67,0.51,0.62	0.01,0.02,0.03,0.18,0.02,0.97,0.55,0.99,0.91	0.02,0.02,0.02,0.02,0.01,0.9,0.4,0.86,0.65
45	F	25	4	English	1,2,3,4,5,6,7,8,9	3,8,5,2,9,1,6,7,4	amazing,terrible,ok,amazing,terrible,amazing,ok,terrible,ok	amazing,good,bad,terrible,good,terrible,amazing,terrible,good	0,0.69,0,1,0.82,0.98,0.44,0,0.5	5,2,2,4,2,5,4,1,4	0,0.49,0.26,0.16,0.64,0.19,0.13,0.83,0.23	0.01,0.7,0.98,0.18,0.78,0.07,0.07,0.97,0.22	0,0.49,0.29,0.17,0.64,0.22,0.12,0.78,0.25	0,0.77,0.86,0.53,0.33,0.27,0.22,0.07,0.4	1,0.49,0.51,0.81,0.32,0.68,0.83,0.01,0.67	0.98,0.49,0.13,0.82,0.51,0.67,0.84,0.01,0.68	0.98,0.25,0.02,0.67,0.23,0.87,0.83,0.02,0.64
46	F	25	4	English	1,2,3,4,5,6,7,8,9	6,5,7,4,2,3,8,1,9	ok,ok,terrible,ok,amazing,amazing,terrible,amazing,terrible	terrible,bad,terrible,good,terrible,good,terrible,good,bad	1,1,0,0,0.99,0,0,0,0	4,2,1,4,1,4,1,4,2	0.44,0.48,0.98,0.01,0.44,0.67,0.98,0.02,0.7	0.44,0.45,0.98,0.01,0.45,0.26,0.98,0.01,0.74	0.44,0.44,0.97,0.03,0.45,0.2,0.98,0.02,0.71	0.42,0.44,0.01,0.48,0.43,0.48,0.45,0.37,0.38	0.02,0.01,0.01,0.52,0.01,0.66,0.01,0.85,0.02	0.01,0.01,0.01,0.51,0.01,0.69,0.02,0.86,0.02	0.01,0.02,0.01,0.52,0.01,0.65,0.01,0.85,0.01
47	F	35	8	English	1,2,3,4,5,6,7,8,9	5,3,1,4,8,9,2,7,6	ok,amazing,amazing,ok,terrible,terrible,amazing,terrible,ok	good,bad,ok,amazing,ok,terrible,ok,amazing,ok	0,0.98,0.72,0.33,0.38,0,0.69,0.99,0.5	4,5,5,3,3,2,5,1,4	0.03,0.02,0.03,0.04,0.06,0.14,0.03,0.42,0.08	0.01,0.03,0.01,0,0.11,0.17,0.04,0.43,0.09	0.02,0.04,0.01,0.02,0.04,0,0.02,0.43,0.05	0.57,0.49,0.5,0.54,0.92,0.47,0.56,0.24,0.65	0.81,0.77,0.69,0.64,0.7,0.2,0.9,0.19,0.6	0.87,0.99,0.96,0.54,0.57,0.12,0.94,0.02,0.63	0.94,0.98,0.96,0.58,0.57,0.06,0.97,0.01,0.64
48	F	55	0	English	1,2,3,4,5,6,7,8,9	2,4,8,9,1,7,6,5,3	amazing,ok,terrible,terrible,amazing,terrible,ok,ok,amazing	ok,amazing,good,amazing,amazing,terrible,amazing,bad,terrible	0.03,1,0.33,1,0,0,0,1,1	3,2,4,1,5,1,5,4,5	0,0.51,0,0.48,0,0.76,0,0.01,0	0.17,0.84,0,0.67,0,1,0,0,0	0.17,0.77,0,0.48,0.02,0.75,0,0,0	0.46,0.37,0.02,0.32,0,0,0,0,0	1,0,0.82,0.02,0.99,0,1,0.64,1	0.51,0,0.82,0,1,0,1,0.62,1	0.4,0,0.82,0,1,0,1,0.64,1
49	F	45	4	English	1,2,3,4,5,6,7,8,9	5,1,7,2,6,4,8,9,3	ok,amazing,terrible,amazing,ok,ok,terrible,terrible,amazing	bad,amazing,bad,terrible,good,ok,ok,good,good	0.92,0.03,0,1,0.24,0,1,1,0	5,5,2,5,4,3,2,2,5	0.1,0.03,0.26,0.01,0.2,0.22,0.51,0.76,0	0.02,0.03,0.53,0,0,0,0.44,0.75,0	0.05,0.03,0.51,0.01,0.02,0.13,0.65,0.51,0	0.22,0.16,0.08,0,0,0.19,0.44,0.48,0	0.8,0.96,0.51,1,0.91,0.79,0.22,0.28,1	0.9,0.99,0.24,1,0.99,0.68,0.46,0.29,1	0.6,0.97,0.25,1,0.7,0.65,0.23,0.15,1
50	M	45	4	English	1,2,3,4,5,6,7,8,9	5,6,1,7,2,3,9,8,4	ok,ok,amazing,terrible,amazing,amazing,terrible,terrible,ok	ok,ok,amazing,bad,amazing,ok,good,bad,bad	0.64,0.25,0,0.11,0.17,0.63,0.85,0.7,0.55	3,4,5,2,4,3,2,3,3	0.49,0.24,0,0.49,0.06,0.31,0.41,0.43,0.66	0.05,0.06,0,0.83,0.04,0.19,0.3,0.31,0.08	0.13,0.06,0,0.74,0.04,0.24,0.19,0.39,0.13	0.47,0.21,0.21,0.45,0.23,0.36,0.5,0.21,0.47	0.64,0.47,0.74,0.51,0.44,0.47,0.48,0.18,0.29	0.67,0.66,1,0.11,0.84,0.55,0.45,0.02,0.21	0.58,0.71,0.92,0.16,1,0.6,0.56,0.07,0.23
51	F	25	4	English	1,2,3,4,5,6,7,8,9	3,2,9,4,8,6,1,5,7	amazing,amazing,terrible,ok,terrible,ok,amazing,ok,terrible	bad,terrible,terrible,ok,good,bad,bad,amazing,ok	1,1,0,0,1,1,0.99,0.5,0.88	5,5,1,3,2,4,5,4,2	0,0,0.72,0.46,0.47,0,0,0,0.47	0,0,0,0.48,0,0,0,0,0	0,0,0.49,0.48,0,0,0,0,0	0.48,0.47,0.49,1,0.49,0.47,0.48,0.51,0.68	1,1,0.32,0.46,0.49,1,0.99,0.73,0.47	0.8,0.74,0,0.48,0,0.58,0.66,0.5,0	0.76,0.62,0,0.46,0,0.57,0.66,0.27,0.2
52	M	45	4	english	1,2,3,4,5,6,7,8,9	5,4,2,7,1,8,3,9,6	ok,ok,amazing,terrible,amazing,terrible,amazing,terrible,ok	bad,amazing,terrible,bad,terrible,ok,ok,bad,amazing	0.92,0.85,0.92,0.01,0.96,0.01,0.2,0,0.01	4,2,5,1,5,2,4,2,4	0.08,0.76,0.01,0.82,0.01,0.65,0.01,0.51,0.01	0.08,0.75,0.05,0.95,0.01,0.83,0.01,0.72,0.06	0.01,0.71,0.01,0.59,0.01,0.53,0.01,0.48,0.01	0.05,0.18,0.06,0.01,0.01,0.17,0.38,0.15,0.55	0.68,0.12,0.83,0.01,0.75,0.77,0.71,0.7,0.78	0.7,0.73,0.86,0.01,0.94,0.02,0.8,0.01,0.82	0.58,0.19,0.92,0.01,0.75,0.08,0.66,0.63,0.62
53	M	25	6	English	1,2,3,4,5,6,7,8,9	9,7,4,1,6,8,3,5,2	terrible,terrible,ok,amazing,ok,terrible,amazing,ok,amazing	terrible,amazing,terrible,terrible,terrible,amazing,bad,bad,terrible	0.24,0.84,0.79,0.98,0.92,0.71,0.99,0.61,0.98	1,4,3,5,4,2,5,3,5	0.75,0.06,0.29,0.06,0.12,0.73,0.01,0.31,0	0.96,0.11,0.2,0.04,0.07,0.14,0.02,0.15,0.01	0.91,0.11,0.18,0.04,0.05,0.14,0.02,0.18,0	0.22,0.31,0.17,null,0.47,0.32,0.12,0.46,0.5	0.14,0.71,0.49,0.51,0.54,0.39,0.75,0.49,0.35	0.17,0.9,0.77,0.89,0.72,0.22,0.99,0.61,0.99	0.1,0.88,0.32,0.88,0.66,0.15,0.98,0.55,0.97
54	F	65	0	English	1,2,3,4,5,6,7,8,9	9,5,7,6,3,8,1,2,4	terrible,ok,terrible,ok,amazing,terrible,amazing,amazing,ok	ok,terrible,terrible,terrible,bad,good,terrible,good,terrible	0.97,0.94,0,1,0.99,0.63,1,0,0.13	2,1,1,2,3,4,3,5,2	0.16,0.58,0.54,0.48,0.7,0.09,0.57,0,0.69	0.14,0.6,0.64,0.7,0.58,0.08,0.49,0.01,0.74	0.23,0.47,0.53,0.4,0.18,0.1,0.06,0,0.6	0.42,0.15,0.09,0.22,0.47,0.58,0.55,0.96,0.43	0.75,0.32,0.28,0.27,0.35,0.66,0.54,0.83,0.33	0.58,0.18,0.29,0.21,0.28,0.71,0.5,0.9,0.17	0.64,0.18,0.09,0.24,0.31,0.62,0.29,0.93,0.17
55	M	35	6	Enlgish	1,2,3,4,5,6,7,8,9	7,2,9,1,3,4,8,5,6	terrible,amazing,terrible,amazing,amazing,ok,terrible,ok,ok	bad,good,bad,bad,good,good,terrible,bad,bad	0,0,0,1,0,0.55,0,0.81,0.7	2,4,2,5,5,3,2,4,4	0.23,0.03,0.4,0.04,0.03,0.21,0.69,0.09,0.07	0.37,0.03,0.47,0.03,0.03,0.24,0.59,0.13,0.08	0.14,0.03,0.45,0.03,0.03,0.14,0.61,0.11,0.1	0.32,0.33,0.44,0.42,0.15,0.62,0.41,0.39,0.44	0.4,0.65,0.35,0.38,0.45,0.47,0.25,0.68,0.69	0.11,0.67,0.05,0.85,0.62,0.29,0.13,0.57,0.62	0.08,0.68,0.03,0.81,0.65,0.25,0.11,0.52,0.64
56	M	25	4	English	1,2,3,4,5,6,7,8,9	1,3,5,9,8,6,2,7,4	amazing,amazing,ok,terrible,terrible,ok,amazing,terrible,ok	terrible,terrible,bad,good,ok,ok,good,good,ok	1,0.96,0.95,0.98,0.48,0.11,0,0.75,0	5,5,4,1,3,4,4,2,3	0.03,0.01,0.04,0.6,0.19,0,0,0.16,0.03	0,0,0,0.7,0.06,0,0,0.71,0.01	0,0,0,0.21,0.02,0,0,0.06,0	0.19,0.06,0.18,0.18,0.86,0.79,0.06,0.37,0.92	1,0.97,0.91,0.05,0.46,0.8,0.96,0,0.74	1,0.95,0.95,0.07,0.35,0.68,0.97,0.08,0.48	0.99,0.96,0.93,0,0.46,0.48,0.96,0.06,0.16
57	F	35	4	english	1,2,3,4,5,6,7,8,9	5,3,4,1,6,9,7,2,8	ok,amazing,ok,amazing,ok,terrible,terrible,amazing,terrible	bad,ok,ok,good,bad,ok,terrible,bad,amazing	0,0.69,0.66,0.04,0.4,0.77,0,1,0.5	3,5,2,4,2,1,1,5,3	0.6,0.35,0.36,0.01,0.59,0.37,0.98,1,0.51	0.63,0.36,0.41,0.04,0.47,0.23,0.98,0.94,0.53	0.83,0.39,0.34,0.02,0.49,0.2,0.99,0.97,0.47	0.48,0.68,0.24,0.48,0.33,0.52,0.01,0.02,0.97	0.49,0.33,0.35,0.02,0.38,0.49,0.01,0.01,0.51	0.38,0.53,0.47,0.52,0.38,0.44,0.01,0.02,0.52	0.41,0.31,0.19,0.33,0.12,0.3,0.47,0.03,0.51
58	F	66	0	English	1,2,3,4,5,6,7,8,9	7,5,2,3,4,1,8,6,9	terrible,ok,amazing,amazing,ok,amazing,terrible,ok,terrible	bad,bad,bad,ok,ok,good,ok,ok,good	0.03,0.61,0.1,0.5,0.14,0.77,0.42,0.18,0.3	2,5,5,4,3,5,3,4,2	0.57,0.05,0.1,0.15,0.45,0.21,0.4,0.19,0.29	0.58,0.25,0.04,0.57,0.27,0.18,0.63,0.22,0.31	0.58,0.12,0.06,0.13,0.43,0.18,0.36,0.23,0.31	0.62,0.34,0.12,0.52,0.29,0.17,0.61,0.7,0.26	0.64,0.86,0.77,0.48,0.24,0.86,0.42,0.68,0.38	0.3,0.93,0.89,0.64,0.56,0.82,0.46,0.69,0.3	0.26,0.88,0.89,0.67,0.57,0.72,0.41,0.67,0.28
59	M	35	6	English	1,2,3,4,5,6,7,8,9	3,2,1,9,4,8,5,7,6	amazing,amazing,amazing,terrible,ok,terrible,ok,terrible,ok	bad,amazing,bad,bad,ok,ok,ok,terrible,good	1,0.03,0.97,0,0.33,0.81,0,0.01,0	5,5,5,2,3,2,4,4,4	0.03,0.02,0.02,0.8,0.55,0.69,0.11,0.64,0.1	0.03,0.02,0.02,0.84,0.25,0.54,0.11,0.67,0.05	0.02,0.02,0.01,0.58,0.38,0.06,0.11,0.58,0.08	0.96,0.01,0.01,0.12,0.77,0.13,0.27,0.07,0.16	0.96,0.98,0.99,0.05,0.1,0.03,0.99,0.05,0.9	0.98,0.98,0.98,0.03,0.07,0.03,0.96,0.02,0.94	0.92,0.98,0.98,0.05,0.07,0.12,0.69,0.03,0.56
60	M	25	0	english	1,2,3,4,5,6,7,8,9	8,9,4,3,2,6,1,7,5	terrible,terrible,ok,amazing,amazing,ok,amazing,terrible,ok	amazing,bad,amazing,terrible,bad,terrible,ok,ok,bad	0.8,0,0.68,0.98,0.91,0.88,0.5,0.75,0.68	5,2,4,1,2,1,3,3,2	0.1,0.99,0.03,0.99,0.85,0.94,0.52,0.49,0.8	0.06,0.98,0.09,0.98,0.84,0.98,0.53,0.48,0.88	0.11,0.98,0.04,0.98,0.86,0.94,0.51,0.49,0.81	0.48,0.02,0.51,0.38,0.53,0.47,1,0.94,0.09	0.85,0.02,0.84,0.01,0.03,0.04,0.51,0.48,0.08	0.84,0,0.86,0.01,0.05,0.04,0.51,0.48,0.11	0.8,0.01,0.79,0.02,0.05,0.03,0.51,0.49,0.11
